@relation 'Wholesale customers data-weka.filters.unsupervised.attribute.Remove-V-R8,4,3,5,7,6,2,1'

@attribute Delicassen numeric
@attribute Milk numeric
@attribute Fresh numeric
@attribute Grocery numeric
@attribute Detergents_Paper numeric
@attribute Frozen numeric
@attribute Region numeric
@attribute Channel numeric

@data
1338,9656,12669,7561,2674,214,3,2
1776,9810,7057,9568,3293,1762,3,2
7844,8808,6353,7684,3516,2405,3,2
1788,1196,13265,4221,507,6404,3,1
5185,5410,22615,7198,1777,3915,3,2
1451,8259,9413,5126,1795,666,3,2
545,3199,12126,6975,3140,480,3,2
2566,4956,7579,9426,3321,1669,3,2
750,3648,5963,6192,1716,425,3,1
2098,11093,6006,18881,7425,1159,3,2
1744,5403,3366,12974,5977,4400,3,2
497,1124,13146,4523,549,1420,3,2
2931,12319,31714,11757,3881,287,3,2
602,6208,21217,14982,6707,3095,3,2
2168,9465,24653,12091,5058,294,3,2
412,1114,10253,3821,964,397,3,1
1080,8816,1020,12121,4508,134,3,2
4478,6157,5876,2933,370,839,3,1
3181,6327,18601,10099,2767,2205,3,2
501,2495,7780,9464,2518,669,3,1
2124,4519,17546,4602,2259,1066,3,2
569,871,5567,2010,375,3383,3,1
4334,1917,31276,4469,2381,9408,3,1
16523,36423,26373,22019,4337,5154,3,2
5778,9776,22647,13792,4482,2915,3,2
57,4230,16165,7595,4003,201,3,2
833,961,9898,2861,242,3151,3,1
518,803,14276,3045,100,485,3,1
5206,20484,4113,25957,8604,1158,3,2
823,2100,43088,2609,1107,1200,3,1
2963,3610,18815,11107,2134,1148,3,1
985,4339,2612,3133,820,2088,3,1
405,1318,21632,2886,918,266,3,1
1083,4786,29729,7326,361,6130,3,1
395,1979,1502,2262,483,425,3,1
436,5491,688,11091,4239,833,3,2
4626,4362,29955,5428,862,1729,3,1
714,10556,15168,12477,6506,1920,3,2
433,15729,4591,16709,6956,33,3,2
2916,555,56159,902,212,10002,3,1
5864,4332,24025,4757,1145,9510,3,1
2802,3065,19176,5956,2575,2033,3,1
46,7555,10850,14961,6899,188,3,2
72,11095,630,23998,9529,787,3,2
65,7027,9670,10471,4618,541,3,2
4985,22044,5181,21531,7353,1740,3,2
1452,14069,3103,21955,6792,1668,3,2
6465,54259,44466,55571,24171,7782,3,2
1476,6152,11519,10868,5121,584,3,2
1163,21412,4967,28921,13583,1798,3,2
2162,1095,6269,1980,609,3860,3,1
301,4051,3347,6996,1538,239,3,1
1278,3916,40721,5876,2587,532,3,2
224,10473,491,11532,5611,744,3,2
1333,1449,27329,1947,204,2436,3,1
1130,3683,5264,5005,2024,1057,3,1
1340,29892,4098,26866,17740,2616,3,2
1282,9933,5417,10487,7572,38,3,2
436,1970,13779,1648,227,596,3,1
1603,5360,6137,8040,3084,129,3,1
225,3045,8590,7854,4095,96,3,2
2017,38369,35942,59598,26701,3254,3,2
964,6245,7823,6544,4074,4154,3,2
1295,11601,9396,15775,7677,2896,3,2
1145,1227,4760,3250,1247,3724,3,1
1423,20959,85,45828,24231,36,3,2
27,1534,9,7417,3468,175,3,1
834,6759,19913,13462,5141,1256,3,2
3095,7260,2446,3993,788,5870,3,1
144,2820,8352,1293,656,779,3,1
1365,2037,16705,3202,116,10643,3,1
14472,1266,18291,21042,4173,5373,3,1
181,5139,4420,2661,1321,8872,3,1
648,5332,19899,8713,764,8132,3,2
1780,6343,8190,9794,1901,1285,3,2
975,1137,20398,3,3,4407,3,1
894,3587,717,6532,529,7530,3,1
1009,12697,12205,28540,12034,869,3,2
167,1175,10766,2067,301,2096,3,1
1653,3259,1640,3655,1202,868,3,1
529,829,7005,3009,610,430,3,1
156,9540,219,14403,7818,283,3,2
2342,9232,10362,11009,3537,737,3,2
772,1563,20874,1783,550,2320,3,1
120,3327,11867,4814,3837,1178,3,2
2944,46197,16117,92780,40827,1026,3,2
903,73498,22925,32114,20070,987,3,2
14351,5025,43265,8117,1579,6312,3,1
46,542,7864,4042,165,9735,3,1
3178,3836,24904,5330,454,3443,3,1
360,596,11405,1638,69,3347,3,1
1117,2762,12754,2530,627,8693,3,1
5130,27472,9198,32034,18906,3232,3,2
2698,3090,11314,2062,71,35009,3,1
244,12220,5626,11323,5038,206,3,2
709,2920,3,6252,223,440,3,1
217,2616,23,8118,3874,145,3,2
63,254,403,610,54,774,3,1
132,112,503,778,56,895,3,1
323,2182,9658,1909,215,5639,3,1
3029,7779,11594,12144,8035,3252,3,2
1838,10810,1420,16267,6766,1593,3,2
1386,6459,2932,7677,4573,2561,3,2
2498,3504,56082,8906,1480,18028,3,1
548,2132,14100,3445,1491,1336,3,1
1378,1014,15587,3970,139,910,3,1
1831,6337,1454,10704,6830,133,3,2
1438,10646,8797,14886,8969,2471,3,2
1236,8397,1531,6981,2505,247,3,2
3,16729,1406,28986,836,673,3,2
1647,1648,11818,1694,169,2276,3,1
1519,11114,12579,17569,6457,805,3,2
2708,2770,19046,2469,483,8853,3,1
1561,2295,14438,1733,585,3220,3,1
1266,1080,18044,2000,118,2555,3,1
610,793,11134,2988,276,2715,3,1
222,2521,11173,3355,310,1517,3,1
1160,3880,6990,5380,319,1647,3,1
933,1891,20049,2362,411,5343,3,1
635,2344,8258,2147,266,3896,3,1
1136,1200,17160,3412,174,2417,3,1
255,3234,4020,1498,264,2395,3,1
860,201,12212,245,25,1991,3,1
143,10769,11170,8814,1976,2194,3,2
1621,1642,36050,2961,500,4787,3,1
918,3473,76237,7102,778,16538,3,1
483,1840,19219,1658,349,8195,3,1
2749,7243,21465,10685,2386,880,3,2
3,8847,140,3823,1062,142,3,1
1819,926,42312,1510,410,1718,3,1
911,2428,7149,699,395,6316,3,1
310,589,2101,314,70,346,3,1
328,2032,14903,2479,955,576,3,1
396,1042,9434,1235,256,436,3,1
537,1882,7388,2174,47,720,3,1
326,1289,6300,2591,199,1170,3,1
1542,8579,4625,7030,2447,4575,3,1
36,8080,3087,8282,721,661,3,1
3271,4257,13537,5034,249,155,3,1
929,4979,5387,3343,637,825,3,1
2616,4280,17623,7305,960,2279,3,1
1450,13252,30379,5189,51,321,3,1
3,7152,37036,8253,20,2995,3,1
318,1596,10405,1096,399,8425,3,1
201,3677,18827,1988,516,118,3,1
4430,8384,22039,34792,12591,42,3,2
520,1936,7769,2177,73,926,3,1
526,3373,9203,2707,1082,1286,3,1
434,584,5924,542,283,4052,3,1
1440,1433,31812,1651,113,800,3,1
1067,1825,16225,1765,170,853,3,1
1774,3328,1289,2022,255,531,3,1
184,1371,18840,3135,352,3001,3,1
1627,9250,3463,2368,302,779,3,1
8,55,622,137,7,75,3,1
2153,10690,1989,19460,11577,233,3,2
3182,5291,3830,14855,6694,317,3,2
418,1366,17773,2474,811,3378,3,1
1682,6570,2861,9618,4004,930,3,2
303,7704,355,14682,8077,398,3,2
2157,3651,1725,12822,4424,824,3,2
2233,540,12434,283,3,1092,3,1
610,2024,15177,3810,232,2665,3,1
446,15726,5531,26870,13726,2367,3,2
238,7603,5224,8584,3674,2540,3,2
2379,12653,15615,19858,7108,4425,3,2
3637,6721,4822,9170,4973,993,3,2
693,3195,2926,3268,1680,405,3,1
429,735,5809,803,79,1393,3,1
750,717,5414,2155,69,2399,3,1
323,8675,260,13430,7015,1116,3,2
6250,25862,200,19816,8773,651,3,2
707,5479,955,6536,2840,333,3,1
716,7677,514,19805,9836,937,3,2
1442,1208,286,5241,153,2515,3,1
1697,7845,2343,11874,4196,52,3,2
230,6958,45640,6536,1532,7368,3,1
2631,7330,12759,4533,20,1752,3,1
395,7075,11002,4945,120,1152,3,1
2165,4888,3157,2500,273,4477,3,1
2794,6036,12356,8887,1382,402,3,1
8550,29627,112151,18148,4948,16745,3,1
156,8533,694,10518,6907,443,3,1
47943,43950,36847,20170,239,36534,3,1
11,918,327,4710,334,74,3,1
247,6448,8170,1139,58,2181,3,1
727,521,3009,854,949,3470,3,1
3,8002,2438,9819,3459,6269,3,1
404,7639,8040,11687,6839,2758,3,2
1856,11577,834,11522,4027,275,3,2
64,6250,16936,1981,118,7332,3,1
84,295,13624,1381,43,890,3,1
409,1461,5509,2251,187,547,3,1
666,3485,180,20292,5618,959,3,2
1142,1012,7107,2974,355,806,3,1
1755,5139,17023,5230,330,7888,3,1
2876,7209,30624,4897,763,18711,1,1
1468,7097,2427,10391,4314,1127,1,2
697,2154,11686,6824,592,3527,1,1
347,2280,9670,2112,402,520,1,1
731,13240,3067,23127,9959,3941,1,2
1681,14399,4484,24708,14235,3549,1,2
6854,11487,25203,9490,284,5065,1,1
18,685,583,2216,954,469,1,1
1328,891,1956,5226,5,1383,1,1
710,11711,1107,23596,9265,955,1,2
285,780,6373,950,288,878,1,1
120,4737,2541,6089,5316,2946,1,2
806,3748,1537,5838,3381,1859,1,1
797,12729,5550,16767,12420,864,1,2
2100,1895,18567,1393,244,1801,1,1
2870,28326,12119,39694,19410,4736,1,2
1775,1012,7291,2062,240,1291,1,1
1215,6602,3317,6861,3961,1329,1,1
791,6551,2362,11364,5957,913,1,2
2388,10765,2806,15538,5828,1374,1,1
674,16599,2532,36486,13308,179,1,2
1158,1475,18044,2046,130,2532,1,1
6372,7504,18,15205,4797,1285,1,2
130,367,4155,1390,86,2306,1,1
749,899,14755,1382,56,1765,1,1
239,7503,5396,10646,4167,91,1,1
375,1115,5041,2856,256,7496,1,1
1360,2527,2790,5265,788,5612,1,2
659,659,7274,1499,70,784,1,1
786,3243,12680,4157,761,660,1,1
1553,5921,20782,9212,2568,1759,1,2
689,2204,4042,1563,263,2286,1,1
203,577,1869,572,4762,950,1,1
980,2746,8656,2501,694,6845,1,1
2137,5989,11072,5615,955,8321,1,2
490,10678,2344,3828,1566,1439,1,1
834,1780,25962,3838,284,638,1,1
7,4984,964,3316,409,937,1,1
2563,2703,15603,3833,325,4260,1,1
295,6380,1838,2824,1216,1218,1,1
225,820,8635,3047,415,2312,1,1
1215,3838,18692,593,28,4634,1,1
216,475,7363,585,72,1112,1,1
2253,2567,47493,3779,828,5243,1,1
2564,3575,22096,7041,343,11422,1,1
1047,1801,24929,2475,412,2216,1,1
578,659,18226,2914,586,3752,1,1
2398,3576,11210,5119,1682,561,1,1
1970,7775,6202,10817,3143,1183,1,1
2784,6154,3062,13916,8933,230,1,2
610,2428,8885,1777,430,1777,1,1
659,346,13569,489,44,2077,1,1
572,5279,15671,2406,562,559,1,1
291,3795,8040,2070,918,6340,1,1
710,1993,3191,1799,234,1730,1,1
5121,23133,6134,33586,18594,6746,1,2
1693,1860,6623,4740,205,7683,1,1
1391,7961,29526,16966,363,432,1,1
3265,17972,10379,4748,1547,4686,1,1
615,489,31614,1495,111,3242,1,1
373,5008,11092,5249,392,453,1,1
987,1931,8475,1883,3593,5004,1,1
3321,4563,56083,2124,730,6422,1,1
818,4959,53205,7336,967,3012,1,1
548,4885,9193,2157,780,327,1,1
287,1110,7858,1094,49,6818,1,1
655,1372,23257,1677,429,982,1,1
411,1115,2153,6684,2894,4324,1,1
1265,9679,1073,15445,5980,61,1,2
3636,23527,5909,13699,830,10155,1,1
2563,9763,572,22182,4882,2221,1,2
3628,1222,20893,2576,737,3975,1,1
698,8053,11908,19847,6374,1069,1,2
204,258,15218,1138,333,2516,1,1
56,1032,4720,975,197,5500,1,1
1550,5007,2083,1563,147,1120,1,1
1040,8323,514,6869,93,529,1,1
1824,3045,36817,1493,210,4802,3,1
1153,1703,894,1841,759,744,3,1
379,1610,680,223,96,862,3,1
2503,3749,27901,6964,603,4479,3,1
139,829,9061,683,621,16919,3,1
1409,2317,11693,2543,274,5845,3,1
1721,6200,17360,9694,3620,1293,3,2
1104,2884,3366,2431,167,977,3,1
2079,7108,12238,6235,2328,1093,3,2
1404,3965,49063,4252,1041,5970,3,1
1384,3613,25767,2013,314,10303,3,1
2406,4411,68951,12609,751,8692,3,1
18,640,40254,3600,436,1042,3,1
128,2247,7149,1242,1226,1619,3,1
1027,2102,15354,2828,386,8366,3,1
258,594,16260,1296,445,848,3,1
22,286,42786,471,32,1388,3,1
1522,2160,2708,2642,965,502,3,1
686,3354,6022,3261,212,2507,3,1
1060,3086,2838,4329,825,3838,3,1
741,11103,3996,12469,5952,902,2,2
1854,2013,21273,6550,811,909,2,1
254,1897,7588,5234,2208,417,2,2
898,1304,19087,3643,710,3045,2,1
531,3199,8090,6986,3712,1455,2,2
1037,4560,6758,9965,4538,934,2,2
259,879,444,2060,290,264,2,1
2005,6243,16448,6360,2662,824,2,2
172,13316,5283,20399,8752,1809,2,2
555,5302,2886,9785,6236,364,2,2
59,3688,2599,13829,10069,492,2,2
2410,7460,161,24773,11783,617,2,2
211,12939,243,8852,3909,799,2,2
1543,12867,6468,21570,7558,1840,2,2
925,2374,17327,2842,351,1149,2,1
656,1020,6987,3007,257,416,2,1
806,20655,918,13567,6846,1465,2,2
1117,1492,7034,2405,299,12569,2,1
117,2335,29635,8280,371,3046,2,1
142,3737,2137,19172,17120,1274,2,2
297,925,9784,2405,183,4447,2,1
1233,1795,10617,7647,857,1483,2,1
3508,14982,1479,11924,3891,662,2,2
1059,1375,7127,2201,83,2679,2,1
1637,3088,1182,6114,821,978,2,1
51,2713,11800,3558,706,2121,2,1
1625,25071,9759,17645,12408,1128,2,2
834,3696,1774,2280,275,514,2,1
1113,1897,9155,5167,228,2714,2,1
229,713,15881,3315,1470,3703,2,1
573,944,13360,11593,1679,915,2,1
1092,3587,25977,2464,140,2369,2,1
5609,16784,32717,13626,1272,60869,2,1
834,1610,4414,1431,387,3498,2,1
522,899,542,1664,88,414,2,1
1534,2209,16933,3389,210,7849,2,1
739,1486,5113,4583,492,5127,2,1
1043,1786,9790,5109,182,3570,2,1
1102,14881,11223,26839,9606,1234,2,2
2602,3216,22321,1447,178,2208,2,1
1215,4980,8565,67298,38102,131,2,2
3486,928,16823,2743,332,11559,2,2
2139,6817,27082,10790,4111,1365,2,2
778,1511,13970,1330,146,650,2,1
868,1347,9351,2611,442,8170,2,1
550,333,3,7021,15,15601,2,1
1942,1188,2617,5332,573,9584,2,1
1371,4025,381,9670,7271,388,3,2
2158,5763,2320,11238,5162,767,3,2
1328,5758,255,5923,4595,349,3,1
37,6964,1689,26316,15469,1456,3,2
379,1172,3043,1763,217,2234,3,1
303,2602,1198,8335,3843,402,3,1
1115,6939,2771,15541,6600,2693,3,2
1022,7184,27380,12311,4621,2809,3,2
665,2380,3428,2028,1184,1341,3,1
445,14641,5981,20521,12218,2005,3,2
995,1099,3521,1997,173,1796,3,1
3137,10044,1210,22294,12638,1741,3,2
195,1106,608,1533,90,830,3,1
1111,6264,117,21203,8682,228,3,2
2341,7393,14039,2548,1333,6386,3,1
127,727,190,2012,184,245,3,1
548,134,22686,218,9,3157,3,1
110,1275,37,22272,6747,137,3,2
4100,18664,759,1660,536,6114,3,1
776,5878,796,2109,232,340,3,1
503,2872,19746,2006,468,2601,3,1
405,607,4734,864,159,1206,3,1
712,1601,2121,2453,179,560,3,1
314,997,4627,4438,1335,191,3,1
468,873,2615,1524,514,1103,3,1
3105,6128,4692,8025,4515,1619,3,2
447,2217,9561,1664,222,1173,3,1
342,894,3477,534,252,1457,3,1
558,1196,22335,2406,101,2046,3,1
296,337,6211,683,41,1089,3,1
2235,3944,39679,4955,523,1364,3,2
790,1887,20105,1939,716,8164,3,1
4829,3801,3884,1641,397,876,3,1
3113,6257,15076,7398,1916,1504,3,2
686,2256,6338,1668,311,1492,3,1
70,1450,5841,1162,476,597,3,1
1426,8630,3136,13586,4666,5641,3,2
1242,3154,38793,2648,96,1034,3,1
1114,3294,3225,1902,68,282,3,1
179,5164,4048,10391,813,130,3,2
270,944,28257,2146,600,3881,3,1
532,4591,17770,1617,246,9927,3,1
2893,7435,34454,8469,1711,2540,3,1
361,1364,1821,3450,397,4006,3,1
5120,21858,10683,15400,282,3635,3,1
1068,922,11635,1614,192,2583,3,1
967,3620,1206,2857,353,1945,3,1
961,1916,20918,1573,231,1960,3,1
406,848,9785,1172,200,1677,3,1
684,1530,9385,1422,227,3019,3,1
1000,1181,3352,1328,311,5502,3,1
1827,2761,2647,2313,95,907,3,1
654,4180,518,3600,122,659,3,1
819,6730,23632,3842,385,8620,3,1
452,865,12377,3204,149,1398,3,1
290,1316,9602,1263,841,2921,3,1
2213,11991,4515,9345,3378,2644,3,2
743,1666,11535,1428,64,6838,3,1
247,1032,11442,582,74,5390,3,1
375,577,9612,935,469,1601,3,1
1014,906,4446,1238,153,3576,3,1
1902,2801,27167,2128,92,13223,3,1
340,4753,26539,5091,10,220,3,1
288,11006,25606,4604,632,127,3,1
715,4613,18073,3444,914,4324,3,1
378,1046,6884,1167,593,2069,3,1
960,5010,25066,5026,1092,9806,3,1
553,12844,7362,18683,7883,2854,3,2
344,3880,8257,6407,2730,1646,3,2
5137,3634,8708,6100,2123,2349,3,1
1892,2096,6633,4563,1860,1389,3,1
4365,3289,2126,3281,235,1535,3,1
62,3605,97,12400,2970,98,3,1
2435,4859,4983,6633,912,17866,3,1
290,1990,5969,3417,1135,5679,3,1
1874,6046,7842,8552,3540,1691,3,2
993,10940,4389,10908,6728,848,3,2
1063,5499,5065,11055,3485,364,3,1
776,8494,660,18622,6740,133,3,2
1521,3783,8861,2223,1580,633,3,1
1393,5266,4456,13227,6818,25,3,1
1784,4847,17063,9053,3415,1031,3,2
1218,1377,26400,4172,948,830,3,1
668,3686,17565,4657,1803,1059,3,2
249,2884,16980,12232,3213,874,3,2
1886,2408,11243,2593,108,15348,3,1
1894,9347,13134,14316,5079,3141,3,1
1163,16687,31012,5429,439,15082,3,1
317,5970,3047,4910,850,2198,3,1
2501,1750,8607,3580,84,47,3,1
2080,4230,3097,16483,241,575,3,1
1498,5506,8533,5160,1377,13486,3,1
395,1162,21117,4754,1328,269,3,1
1449,3218,1982,1493,356,1541,3,1
838,3922,16731,7994,2371,688,3,1
2204,12051,29703,16027,182,13135,3,1
2346,1431,39228,764,93,4510,3,1
1867,15488,14531,30243,14841,437,3,2
2125,1981,10290,2232,168,1038,3,1
52,1698,2787,2510,477,65,3,1