Region,Grocery,Frozen,Detergents_Paper,Channel
3,7561,214,2674,2
3,9568,1762,3293,2
3,7684,2405,3516,2
3,4221,6404,507,1
3,7198,3915,1777,2
3,5126,666,1795,2
3,6975,480,3140,2
3,9426,1669,3321,2
3,6192,425,1716,1
3,18881,1159,7425,2
3,12974,4400,5977,2
3,4523,1420,549,2
3,11757,287,3881,2
3,14982,3095,6707,2
3,12091,294,5058,2
3,3821,397,964,1
3,12121,134,4508,2
3,2933,839,370,1
3,10099,2205,2767,2
3,9464,669,2518,1
3,4602,1066,2259,2
3,2010,3383,375,1
3,4469,9408,2381,1
3,22019,5154,4337,2
3,13792,2915,4482,2
3,7595,201,4003,2
3,2861,3151,242,1
3,3045,485,100,1
3,25957,1158,8604,2
3,2609,1200,1107,1
3,11107,1148,2134,1
3,3133,2088,820,1
3,2886,266,918,1
3,7326,6130,361,1
3,2262,425,483,1
3,11091,833,4239,2
3,5428,1729,862,1
3,12477,1920,6506,2
3,16709,33,6956,2
3,902,10002,212,1
3,4757,9510,1145,1
3,5956,2033,2575,1
3,14961,188,6899,2
3,23998,787,9529,2
3,10471,541,4618,2
3,21531,1740,7353,2
3,21955,1668,6792,2
3,55571,7782,24171,2
3,10868,584,5121,2
3,28921,1798,13583,2
3,1980,3860,609,1
3,6996,239,1538,1
3,5876,532,2587,2
3,11532,744,5611,2
3,1947,2436,204,1
3,5005,1057,2024,1
3,26866,2616,17740,2
3,10487,38,7572,2
3,1648,596,227,1
3,8040,129,3084,1
3,7854,96,4095,2
3,59598,3254,26701,2
3,6544,4154,4074,2
3,15775,2896,7677,2
3,3250,3724,1247,1
3,45828,36,24231,2
3,7417,175,3468,1
3,13462,1256,5141,2
3,3993,5870,788,1
3,1293,779,656,1
3,3202,10643,116,1
3,21042,5373,4173,1
3,2661,8872,1321,1
3,8713,8132,764,2
3,9794,1285,1901,2
3,3,4407,3,1
3,6532,7530,529,1
3,28540,869,12034,2
3,2067,2096,301,1
3,3655,868,1202,1
3,3009,430,610,1
3,14403,283,7818,2
3,11009,737,3537,2
3,1783,2320,550,1
3,4814,1178,3837,2
3,92780,1026,40827,2
3,32114,987,20070,2
3,8117,6312,1579,1
3,4042,9735,165,1
3,5330,3443,454,1
3,1638,3347,69,1
3,2530,8693,627,1
3,32034,3232,18906,2
3,2062,35009,71,1
3,11323,206,5038,2
3,6252,440,223,1
3,8118,145,3874,2
3,610,774,54,1
3,778,895,56,1
3,1909,5639,215,1
3,12144,3252,8035,2
3,16267,1593,6766,2
3,7677,2561,4573,2
3,8906,18028,1480,1
3,3445,1336,1491,1
3,3970,910,139,1
3,10704,133,6830,2
3,14886,2471,8969,2
3,6981,247,2505,2
3,28986,673,836,2
3,1694,2276,169,1
3,17569,805,6457,2
3,2469,8853,483,1
3,1733,3220,585,1
3,2000,2555,118,1
3,2988,2715,276,1
3,3355,1517,310,1
3,5380,1647,319,1
3,2362,5343,411,1
3,2147,3896,266,1
3,3412,2417,174,1
3,1498,2395,264,1
3,245,1991,25,1
3,8814,2194,1976,2
3,2961,4787,500,1
3,7102,16538,778,1
3,1658,8195,349,1
3,10685,880,2386,2
3,3823,142,1062,1
3,1510,1718,410,1
3,699,6316,395,1
3,314,346,70,1
3,2479,576,955,1
3,1235,436,256,1
3,2174,720,47,1
3,2591,1170,199,1
3,7030,4575,2447,1
3,8282,661,721,1
3,5034,155,249,1
3,3343,825,637,1
3,7305,2279,960,1
3,5189,321,51,1
3,8253,2995,20,1
3,1096,8425,399,1
3,1988,118,516,1
3,34792,42,12591,2
3,2177,926,73,1
3,2707,1286,1082,1
3,542,4052,283,1
3,1651,800,113,1
3,1765,853,170,1
3,2022,531,255,1
3,3135,3001,352,1
3,2368,779,302,1
3,137,75,7,1
3,19460,233,11577,2
3,14855,317,6694,2
3,2474,3378,811,1
3,9618,930,4004,2
3,14682,398,8077,2
3,12822,824,4424,2
3,283,1092,3,1
3,3810,2665,232,1
3,26870,2367,13726,2
3,8584,2540,3674,2
3,19858,4425,7108,2
3,9170,993,4973,2
3,3268,405,1680,1
3,803,1393,79,1
3,2155,2399,69,1
3,13430,1116,7015,2
3,19816,651,8773,2
3,6536,333,2840,1
3,19805,937,9836,2
3,5241,2515,153,1
3,11874,52,4196,2
3,6536,7368,1532,1
3,4533,1752,20,1
3,4945,1152,120,1
3,2500,4477,273,1
3,8887,402,1382,1
3,18148,16745,4948,1
3,10518,443,6907,1
3,20170,36534,239,1
3,4710,74,334,1
3,1139,2181,58,1
3,854,3470,949,1
3,9819,6269,3459,1
3,11687,2758,6839,2
3,11522,275,4027,2
3,1981,7332,118,1
3,1381,890,43,1
3,2251,547,187,1
3,20292,959,5618,2
3,2974,806,355,1
3,5230,7888,330,1
1,4897,18711,763,1
1,10391,1127,4314,2
1,6824,3527,592,1
1,2112,520,402,1
1,23127,3941,9959,2
1,24708,3549,14235,2
1,9490,5065,284,1
1,2216,469,954,1
1,5226,1383,5,1
1,23596,955,9265,2
1,950,878,288,1
1,6089,2946,5316,2
1,5838,1859,3381,1
1,16767,864,12420,2
1,1393,1801,244,1
1,39694,4736,19410,2
1,2062,1291,240,1
1,6861,1329,3961,1
1,11364,913,5957,2
1,15538,1374,5828,1
1,36486,179,13308,2
1,2046,2532,130,1
1,15205,1285,4797,2
1,1390,2306,86,1
1,1382,1765,56,1
1,10646,91,4167,1
1,2856,7496,256,1
1,5265,5612,788,2
1,1499,784,70,1
1,4157,660,761,1
1,9212,1759,2568,2
1,1563,2286,263,1
1,572,950,4762,1
1,2501,6845,694,1
1,5615,8321,955,2
1,3828,1439,1566,1
1,3838,638,284,1
1,3316,937,409,1
1,3833,4260,325,1
1,2824,1218,1216,1
1,3047,2312,415,1
1,593,4634,28,1
1,585,1112,72,1
1,3779,5243,828,1
1,7041,11422,343,1
1,2475,2216,412,1
1,2914,3752,586,1
1,5119,561,1682,1
1,10817,1183,3143,1
1,13916,230,8933,2
1,1777,1777,430,1
1,489,2077,44,1
1,2406,559,562,1
1,2070,6340,918,1
1,1799,1730,234,1
1,33586,6746,18594,2
1,4740,7683,205,1
1,16966,432,363,1
1,4748,4686,1547,1
1,1495,3242,111,1
1,5249,453,392,1
1,1883,5004,3593,1
1,2124,6422,730,1
1,7336,3012,967,1
1,2157,327,780,1
1,1094,6818,49,1
1,1677,982,429,1
1,6684,4324,2894,1
1,15445,61,5980,2
1,13699,10155,830,1
1,22182,2221,4882,2
1,2576,3975,737,1
1,19847,1069,6374,2
1,1138,2516,333,1
1,975,5500,197,1
1,1563,1120,147,1
1,6869,529,93,1
3,1493,4802,210,1
3,1841,744,759,1
3,223,862,96,1
3,6964,4479,603,1
3,683,16919,621,1
3,2543,5845,274,1
3,9694,1293,3620,2
3,2431,977,167,1
3,6235,1093,2328,2
3,4252,5970,1041,1
3,2013,10303,314,1
3,12609,8692,751,1
3,3600,1042,436,1
3,1242,1619,1226,1
3,2828,8366,386,1
3,1296,848,445,1
3,471,1388,32,1
3,2642,502,965,1
3,3261,2507,212,1
3,4329,3838,825,1
2,12469,902,5952,2
2,6550,909,811,1
2,5234,417,2208,2
2,3643,3045,710,1
2,6986,1455,3712,2
2,9965,934,4538,2
2,2060,264,290,1
2,6360,824,2662,2
2,20399,1809,8752,2
2,9785,364,6236,2
2,13829,492,10069,2
2,24773,617,11783,2
2,8852,799,3909,2
2,21570,1840,7558,2
2,2842,1149,351,1
2,3007,416,257,1
2,13567,1465,6846,2
2,2405,12569,299,1
2,8280,3046,371,1
2,19172,1274,17120,2
2,2405,4447,183,1
2,7647,1483,857,1
2,11924,662,3891,2
2,2201,2679,83,1
2,6114,978,821,1
2,3558,2121,706,1
2,17645,1128,12408,2
2,2280,514,275,1
2,5167,2714,228,1
2,3315,3703,1470,1
2,11593,915,1679,1
2,2464,2369,140,1
2,13626,60869,1272,1
2,1431,3498,387,1
2,1664,414,88,1
2,3389,7849,210,1
2,4583,5127,492,1
2,5109,3570,182,1
2,26839,1234,9606,2
2,1447,2208,178,1
2,67298,131,38102,2
2,2743,11559,332,2
2,10790,1365,4111,2
2,1330,650,146,1
2,2611,8170,442,1
2,7021,15601,15,1
2,5332,9584,573,1
3,9670,388,7271,2
3,11238,767,5162,2
3,5923,349,4595,1
3,26316,1456,15469,2
3,1763,2234,217,1
3,8335,402,3843,1
3,15541,2693,6600,2
3,12311,2809,4621,2
3,2028,1341,1184,1
3,20521,2005,12218,2
3,1997,1796,173,1
3,22294,1741,12638,2
3,1533,830,90,1
3,21203,228,8682,2
3,2548,6386,1333,1
3,2012,245,184,1
3,218,3157,9,1
3,22272,137,6747,2
3,1660,6114,536,1
3,2109,340,232,1
3,2006,2601,468,1
3,864,1206,159,1
3,2453,560,179,1
3,4438,191,1335,1
3,1524,1103,514,1
3,8025,1619,4515,2
3,1664,1173,222,1
3,534,1457,252,1
3,2406,2046,101,1
3,683,1089,41,1
3,4955,1364,523,2
3,1939,8164,716,1
3,1641,876,397,1
3,7398,1504,1916,2
3,1668,1492,311,1
3,1162,597,476,1
3,13586,5641,4666,2
3,2648,1034,96,1
3,1902,282,68,1
3,10391,130,813,2
3,2146,3881,600,1
3,1617,9927,246,1
3,8469,2540,1711,1
3,3450,4006,397,1
3,15400,3635,282,1
3,1614,2583,192,1
3,2857,1945,353,1
3,1573,1960,231,1
3,1172,1677,200,1
3,1422,3019,227,1
3,1328,5502,311,1
3,2313,907,95,1
3,3600,659,122,1
3,3842,8620,385,1
3,3204,1398,149,1
3,1263,2921,841,1
3,9345,2644,3378,2
3,1428,6838,64,1
3,582,5390,74,1
3,935,1601,469,1
3,1238,3576,153,1
3,2128,13223,92,1
3,5091,220,10,1
3,4604,127,632,1
3,3444,4324,914,1
3,1167,2069,593,1
3,5026,9806,1092,1
3,18683,2854,7883,2
3,6407,1646,2730,2
3,6100,2349,2123,1
3,4563,1389,1860,1
3,3281,1535,235,1
3,12400,98,2970,1
3,6633,17866,912,1
3,3417,5679,1135,1
3,8552,1691,3540,2
3,10908,848,6728,2
3,11055,364,3485,1
3,18622,133,6740,2
3,2223,633,1580,1
3,13227,25,6818,1
3,9053,1031,3415,2
3,4172,830,948,1
3,4657,1059,1803,2
3,12232,874,3213,2
3,2593,15348,108,1
3,14316,3141,5079,1
3,5429,15082,439,1
3,4910,2198,850,1
3,3580,47,84,1
3,16483,575,241,1
3,5160,13486,1377,1
3,4754,269,1328,1
3,1493,1541,356,1
3,7994,688,2371,1
3,16027,13135,182,1
3,764,4510,93,1
3,30243,437,14841,2
3,2232,1038,168,1
3,2510,65,477,1
